season,n_games,actual_upsets,predicted_upsets,correct_upset_picks,upset_recall,upset_precision,accuracy,roc_auc,brier_score,threshold_used,hits_top_3,hit_rate_top_3,hits_top_5,hit_rate_top_5,features_used
2012,16,3,5,0,0.0,0.0,0.5,0.3589743589743589,0.18041320697913854,0.15,0,0.0,0,0.0,"matchup_Extra Scoring Chances per Game, matchup_Effective Possession Ratio, matchup_Floor %, matchup_Opponent Steals per Defensive Play, matchup_Offensive Efficiency, matchup_Opponent Free Throws Attempted per Offensive Play, matchup_Opponent Free Throws Attempted per Game, matchup_Assist / Turnover Ratio, matchup_Opponent Steals per Game, matchup_Opponent Defensive Rebounds per Game, matchup_Steals per Defensive Play, matchup_Personal Fouls per Defensive Play, matchup_Opponent Free Throws Made per Game, matchup_Opponent Offensive Rebounds per Game, matchup_Personal Fouls per Possession"
2013,16,3,2,1,0.3333333333333333,0.5,0.8125,0.7948717948717949,0.1519585987276767,0.15,1,0.3333333333333333,2,0.6666666666666666,"matchup_Extra Scoring Chances per Game, matchup_Effective Possession Ratio, matchup_Steals per Defensive Play, matchup_Opponent Floor %, matchup_Opponent Three Point %, matchup_Steals per Possession, matchup_Assist / Turnover Ratio, matchup_Opponent Free Throws Attempted per Game, matchup_Opponent Steals per Defensive Play, matchup_Opponent Team Rebounds per Game, matchup_Defensive Efficiency, matchup_Floor %, matchup_Opponent Free Throws Made per Game, matchup_Opponent Free Throws Attempted per Offensive Play, matchup_Personal Fouls per Possession"
2014,16,1,4,0,0.0,0.0,0.6875,0.6666666666666667,0.0640711875111511,0.15,0,0.0,0,0.0,"matchup_Extra Scoring Chances per Game, matchup_Effective Possession Ratio, matchup_Personal Fouls per Possession, matchup_Steals per Defensive Play, matchup_Personal Fouls per Defensive Play, matchup_Steals per Possession, matchup_Opponent Three Point %, matchup_Opponent Floor %, matchup_Floor %, matchup_Opponent Free Throws Attempted per Game, matchup_Opponent Free Throws Made per Game, matchup_Opponent Defensive Rebounds per Game, matchup_Personal Fouls per Game, matchup_Opponent Free Throws Attempted per Offensive Play, matchup_Defensive Efficiency"
2015,16,2,2,0,0.0,0.0,0.75,0.5357142857142857,0.12396681965723716,0.15,0,0.0,0,0.0,"matchup_Personal Fouls per Possession, matchup_Opponent Floor %, matchup_Effective Possession Ratio, matchup_Personal Fouls per Defensive Play, matchup_Extra Scoring Chances per Game, matchup_Opponent Three Point %, matchup_Steals per Defensive Play, matchup_Floor %, matchup_Steals per Possession, matchup_Opponent Team Rebounds per Game, matchup_Opponent Free Throws Attempted per Game, matchup_Personal Fouls per Game, matchup_Defensive Efficiency, matchup_Opponent Free Throws Attempted per Offensive Play, matchup_Opponent Free Throws Made per Game"
2016,16,3,7,2,0.6666666666666666,0.2857142857142857,0.625,0.717948717948718,0.1506419326790271,0.15,0,0.0,2,0.6666666666666666,"matchup_Opponent Floor %, matchup_Personal Fouls per Possession, matchup_Opponent Three Point %, matchup_Effective Possession Ratio, matchup_Personal Fouls per Defensive Play, matchup_Steals per Defensive Play, matchup_Steals per Possession, matchup_Extra Scoring Chances per Game, matchup_Floor %, matchup_Opponent Team Rebounds per Game, matchup_Points from 2 pointers, matchup_Defensive Efficiency, matchup_Opponent Steals per Possession, matchup_Opponent Steals per Defensive Play, matchup_Assist / Turnover Ratio"
2017,16,0,3,0,,0.0,0.8125,,0.01116486091048358,0.15,0,,0,,"matchup_Steals per Defensive Play, matchup_Steals per Possession, matchup_Opponent Floor %, matchup_Personal Fouls per Possession, matchup_Opponent Three Point %, matchup_Personal Fouls per Defensive Play, matchup_Assist / Turnover Ratio, matchup_Floor %, matchup_Opponent Team Rebounds per Game, matchup_Steals per Game, matchup_Average 2nd Half Margin, matchup_Effective Possession Ratio, matchup_Extra Scoring Chances per Game, matchup_Defensive Efficiency, matchup_Opponent Average Scoring Margin"
2018,16,3,2,1,0.3333333333333333,0.5,0.8125,0.5897435897435896,0.16233529196638097,0.15,1,0.3333333333333333,1,0.3333333333333333,"matchup_Steals per Defensive Play, matchup_Steals per Possession, matchup_Opponent Floor %, matchup_Assist / Turnover Ratio, matchup_Opponent Three Point %, matchup_Personal Fouls per Possession, matchup_Personal Fouls per Defensive Play, matchup_Steals per Game, matchup_Floor %, matchup_Average 2nd Half Margin, matchup_Opponent Team Rebounds per Game, matchup_Effective Possession Ratio, matchup_Extra Scoring Chances per Game, matchup_Defensive Efficiency, matchup_Opponent Average Scoring Margin"
2019,16,1,0,0,0.0,,0.9375,0.6666666666666667,0.05602898428149217,0.15,0,0.0,0,0.0,"matchup_Steals per Defensive Play, matchup_Steals per Possession, matchup_Assist / Turnover Ratio, matchup_Opponent Floor %, matchup_Steals per Game, matchup_Opponent Three Point %, matchup_Opponent Defensive Rebounds per Game, matchup_Effective Possession Ratio, matchup_Free Throw %, matchup_Floor %, matchup_Personal Fouls per Possession, matchup_Personal Fouls per Defensive Play, matchup_Opponent Team Rebounds per Game, matchup_Opponent Total Rebounds per Game, matchup_Opponent Offensive Rebounds per Game"
2021,16,3,3,2,0.6666666666666666,0.6666666666666666,0.875,0.9743589743589745,0.12055117200054258,0.15,2,0.6666666666666666,3,1.0,"matchup_Steals per Defensive Play, matchup_Steals per Possession, matchup_Opponent Floor %, matchup_Floor %, matchup_Assist / Turnover Ratio, matchup_Steals per Game, matchup_Opponent Three Point %, matchup_Effective Possession Ratio, matchup_Opponent Defensive Rebounds per Game, matchup_Opponent Team Rebounds per Game, matchup_Free Throw %, matchup_Field Goals Made per Game, matchup_Opponent Offensive Rebounds per Game, matchup_Opponent Steals per Possession, matchup_Personal Fouls per Possession"
2022,16,1,4,0,0.0,0.0,0.6875,0.33333333333333337,0.07297227867267288,0.15,0,0.0,0,0.0,"matchup_Steals per Defensive Play, matchup_Steals per Possession, matchup_Opponent Floor %, matchup_Steals per Game, matchup_Field Goals Made per Game, matchup_Assist / Turnover Ratio, matchup_Floor %, matchup_Points per Game, matchup_Field Goals Attempted per Game, matchup_Opponent Turnovers per Possession, matchup_Opponent Turnovers per Game, matchup_Opponent Offensive Rebounds per Game, matchup_Effective Possession Ratio, matchup_Opponent Team Rebounds per Game, matchup_Opponent Defensive Rebounds per Game"
2023,16,3,3,1,0.3333333333333333,0.3333333333333333,0.75,0.7435897435897436,0.15501797147884275,0.15,1,0.3333333333333333,2,0.6666666666666666,"matchup_Steals per Possession, matchup_Steals per Defensive Play, matchup_Opponent Floor %, matchup_Steals per Game, matchup_Assist / Turnover Ratio, matchup_Floor %, matchup_Points per Game, matchup_Field Goals Made per Game, matchup_Field Goals Attempted per Game, matchup_Opponent Turnovers per Possession, matchup_Opponent Turnovers per Game, matchup_Opponent Offensive Rebounds per Game, matchup_Personal Fouls per Defensive Play, matchup_Personal Fouls per Possession, matchup_Opponent Team Rebounds per Game"
2024,16,2,3,0,0.0,0.0,0.6875,0.6785714285714285,0.11251849318935844,0.15,0,0.0,1,0.5,"matchup_Field Goals Attempted per Game, matchup_Field Goals Made per Game, matchup_Points per Game, matchup_Steals per Possession, matchup_Steals per Defensive Play, matchup_Steals per Game, matchup_Opponent Floor %, matchup_Assist / Turnover Ratio, matchup_2nd Half Points per Game, matchup_Opponent Turnovers per Game, matchup_Opponent Offensive Rebounds per Game, matchup_Opponent Turnovers per Possession, matchup_Effective Possession Ratio, matchup_Floor %, matchup_Personal Fouls per Defensive Play"
2025,16,0,4,0,,0.0,0.75,,0.013332836492819003,0.15,0,,0,,"matchup_Field Goals Attempted per Game, matchup_Field Goals Made per Game, matchup_Points per Game, matchup_Steals per Possession, matchup_Steals per Defensive Play, matchup_Steals per Game, matchup_Opponent Floor %, matchup_Personal Fouls per Possession, matchup_Opponent Offensive Rebounds per Game, matchup_Assist / Turnover Ratio, matchup_Effective Possession Ratio, matchup_Personal Fouls per Defensive Play, matchup_2nd Half Points per Game, matchup_Opponent Turnovers per Game, matchup_Opponent Steals per Possession"
2026,16,0,1,0,,0.0,0.9375,,0.010673448644859088,0.15,0,,0,,"matchup_Field Goals Attempted per Game, matchup_Field Goals Made per Game, matchup_Points per Game, matchup_Steals per Possession, matchup_Steals per Defensive Play, matchup_Steals per Game, matchup_Assist / Turnover Ratio, matchup_Personal Fouls per Possession, matchup_Opponent Offensive Rebounds per Game, matchup_Effective Possession Ratio, matchup_Opponent Floor %, matchup_2nd Half Points per Game, matchup_Personal Fouls per Defensive Play, matchup_Opponent Turnovers per Game, matchup_Floor %"
